x,y
1.912397788063716320e+01,-2.312572344114450118e+00
1.925149972361492701e+01,-2.353721507048888384e+00
1.937887793360143007e+01,-2.395388119430055696e+00
1.950603885283112504e+01,-2.437583066587027503e+00
1.963290882353854983e+01,-2.480317233848897018e+00
1.975941418795819970e+01,-2.523601506544746798e+00
1.988548128832452733e+01,-2.567446770003641632e+00
2.001103646687210613e+01,-2.611863909554706709e+00
2.013600606583534613e+01,-2.656863810526978398e+00
2.026031642744884920e+01,-2.702457358249592545e+00
2.038389389394703954e+01,-2.748655438051599731e+00
2.050666480756446930e+01,-2.795468935262100274e+00
2.062855551053561243e+01,-2.842908735210176729e+00
2.074949234509495710e+01,-2.890985723224904547e+00
2.086940165347701992e+01,-2.939710784635376939e+00
2.098820977791633169e+01,-2.989094804770690672e+00
2.110584306064735216e+01,-3.039148668959917643e+00
2.122222784390458372e+01,-3.089883262532140407e+00
2.133729046992252876e+01,-3.141309470816445071e+00
2.145095728093570386e+01,-3.193438179141924849e+00
2.156315461917859722e+01,-3.246280272837658742e+00
2.167380882688572541e+01,-3.299846637232739965e+00
2.178284624629156241e+01,-3.354148157656247520e+00
2.189019321963061060e+01,-3.409195719437249750e+00
2.199577608913738658e+01,-3.465000207904857632e+00
2.209952119704640694e+01,-3.521572508388153722e+00
2.220135488559213144e+01,-3.578923506216213468e+00
2.230120349700910509e+01,-3.637064086718126532e+00
2.239899337353180186e+01,-3.696005135222982574e+00
2.249465085739469572e+01,-3.755757537059849938e+00
2.258810229083234589e+01,-3.816332177557839600e+00
2.267927401607922633e+01,-3.877739942046019905e+00
2.276809237536981101e+01,-3.939991715853473409e+00
2.285448371093863074e+01,-4.003098384309282665e+00
2.293837436502017368e+01,-4.067070832742544439e+00
2.301969067984895645e+01,-4.131919946482348394e+00
2.309835899765946721e+01,-4.197656610857762871e+00
2.317430566068619413e+01,-4.264291711197884638e+00
2.324745701116369645e+01,-4.331836132831803354e+00
2.331773939132639129e+01,-4.400300761088594470e+00
2.338507914340880944e+01,-4.469696481297333435e+00
2.344940260964549594e+01,-4.540034178787138330e+00
2.351063625565900139e+01,-4.611324714986587026e+00
2.356873597038683243e+01,-4.683573251976334006e+00
2.362372497092446366e+01,-4.756771910254350644e+00
2.367563585063592058e+01,-4.830910994118823965e+00
2.372450120288527131e+01,-4.905980807867962312e+00
2.377035362103656979e+01,-4.981971655799945609e+00
2.381322569845388415e+01,-5.058873842212989302e+00
2.385315002850126831e+01,-5.136677671405280421e+00
2.389015920454276198e+01,-5.215373447675013097e+00
2.392428581994244752e+01,-5.294951475320402778e+00
2.395556246806435041e+01,-5.375402058639622282e+00
2.398402174227252459e+01,-5.456715501930879952e+00
2.400969623593106661e+01,-5.538882109492377026e+00
2.403261854240400197e+01,-5.621892185622307636e+00
2.405282125505539881e+01,-5.705736034618873020e+00
2.407033696724929683e+01,-5.790403960780253101e+00
2.408519827234977839e+01,-5.875886268404663326e+00
2.409743776372089741e+01,-5.962173261790312040e+00
2.410708803472666517e+01,-6.049255245235364953e+00
2.411418167873116403e+01,-6.137122523038030408e+00
2.411875128909849053e+01,-6.225765399496523855e+00
2.412082945919265597e+01,-6.315174178909018110e+00
2.412044878237774270e+01,-6.405339165573735727e+00
2.411764185201776201e+01,-6.496250663788849522e+00
