x,y
2.936475104195094588e+01,-3.084512868205064251e+01
2.905603253061899949e+01,-3.105478989599793849e+01
2.874461261581176075e+01,-3.125781175852213778e+01
2.843062692043108086e+01,-3.145402093209464311e+01
2.811421106737878972e+01,-3.164324407918685012e+01
2.779550067955676695e+01,-3.182530786227014019e+01
2.747463137986687087e+01,-3.200003894381590897e+01
2.715173879121097400e+01,-3.216726398629555206e+01
2.682695853649090623e+01,-3.232680965218045799e+01
2.650042623860853297e+01,-3.247850260394201882e+01
2.617227752046571254e+01,-3.262216950405164084e+01
2.584264800496429615e+01,-3.275763701498069480e+01
2.551167331500617053e+01,-3.288473179920057987e+01
2.517948907349317267e+01,-3.300328051918269523e+01
2.484623090332713957e+01,-3.311310983739843294e+01
2.451203442740997929e+01,-3.321404641631916377e+01
2.417703526864349328e+01,-3.330591691841631530e+01
2.384135917657324200e+01,-3.338866418787782209e+01
2.350508495041719215e+01,-3.346278354258535614e+01
2.316827744847457637e+01,-3.352893434594034971e+01
2.283100152679746486e+01,-3.358777598778685558e+01
2.249332204143792779e+01,-3.363996785796889100e+01
2.215530384844808509e+01,-3.368616934633047322e+01
2.181701180387997141e+01,-3.372703984271564082e+01
2.147851076378567825e+01,-3.376323873696841105e+01
2.113986558421730422e+01,-3.379542541893281538e+01
2.080114112122689818e+01,-3.382425927845287106e+01
2.046240223086656584e+01,-3.385039970537261667e+01
2.012371376918837029e+01,-3.387450608953606945e+01
1.978514059224439592e+01,-3.389723782078725378e+01
1.944674454523943297e+01,-3.391922672473412348e+01
1.910854673487779110e+01,-3.394073166697207000e+01
1.877053897629184576e+01,-3.396174334944417694e+01
1.843271244153311272e+01,-3.398224658670456932e+01
1.809505830265324278e+01,-3.400222619330740770e+01
1.775756773170376590e+01,-3.402166698380684551e+01
1.742023190073629024e+01,-3.404055377275700778e+01
1.708304198180243105e+01,-3.405887137471202664e+01
1.674598914695371121e+01,-3.407660460422606974e+01
1.640906456824177440e+01,-3.409373827585326922e+01
1.607225941771816480e+01,-3.411025720414777851e+01
1.573556486743447635e+01,-3.412614620366370843e+01
1.539897208944231721e+01,-3.414139008895524796e+01
1.506247225579323867e+01,-3.415597367457652211e+01
1.472605653853887020e+01,-3.416988177508164881e+01
1.438971610973076309e+01,-3.418309920502480281e+01
1.405344214142049708e+01,-3.419561077896011625e+01
1.371722580565969452e+01,-3.420740131144173546e+01
1.338105827449989249e+01,-3.421845561702379257e+01
1.304493071999272757e+01,-3.422875851026044103e+01
1.270883431418976528e+01,-3.423829480570581296e+01
1.237276022914253559e+01,-3.424704931791408313e+01
1.203669963690272482e+01,-3.425500686143934814e+01
1.170064370952184873e+01,-3.426215225083577565e+01
1.136458361905152259e+01,-3.426847030065751198e+01
1.102851053754329769e+01,-3.427394582545869639e+01
1.069241563704878217e+01,-3.427856363979347520e+01
1.035629008961958419e+01,-3.428230855821598766e+01
1.002012506730724084e+01,-3.428516539528036589e+01
9.683911742163395786e+00,-3.428711896554077043e+01
9.347641286239586123e+00,-3.428815408355133343e+01
9.011304871587377363e+00,-3.428825556386621543e+01
8.674893670258434497e+00,-3.428740822103952723e+01
8.338398854304273300e+00,-3.428559686962543651e+01
8.001811595776530339e+00,-3.428280632417808960e+01
7.665123066726735601e+00,-3.427902139925160441e+01
7.328324439206511443e+00,-3.427422690940015571e+01
6.991406885267444693e+00,-3.426840766917786141e+01
6.654361576961093760e+00,-3.426154849313888207e+01
6.317179686339088107e+00,-3.425363419583736402e+01
5.979852385452964825e+00,-3.424464959182741097e+01
5.642370846354346270e+00,-3.423457949566321190e+01
5.304726241094790851e+00,-3.422340872189888472e+01
4.966909741725892502e+00,-3.421112208508858998e+01
4.628912520299259370e+00,-3.419770439978645271e+01
4.290725748866428546e+00,-3.418314048054662635e+01
3.952340599479036598e+00,-3.416741514192325724e+01
3.613748244188634828e+00,-3.415051319847047750e+01
3.274939855046817172e+00,-3.413241946474242638e+01
2.935906604105191775e+00,-3.411311875529327153e+01
2.596639663415309940e+00,-3.409259588467713087e+01
2.257130205028772707e+00,-3.407083566744815784e+01
1.917369400997174012e+00,-3.404782291816050588e+01
1.577348423372065156e+00,-3.402354245136830713e+01
1.237058444205075602e+00,-3.399797908162569371e+01
8.964906355477495481e-01,-3.397111762348682618e+01
5.556361694517022443e-01,-3.394294289150585087e+01
2.144862179685418369e-01,-3.391343970023687859e+01
-1.269680468502230042e-01,-3.388259286423408412e+01
-4.687354529529415004e-01,-3.385038719805160667e+01
-8.108248282880623492e-01,-3.381680751624359260e+01
-1.153245000803977405e+00,-3.378183863336415982e+01
-1.496004798449106943e+00,-3.374546536396747598e+01
-1.839113049171871239e+00,-3.370767252260767322e+01
-2.182578580920676359e+00,-3.366844492383890497e+01
-2.526410221643956788e+00,-3.362776738221528916e+01
-2.870616799290104382e+00,-3.358562471229102186e+01
-3.215207141807567837e+00,-3.354200172862017837e+01
-3.560190077144696374e+00,-3.349688324575694054e+01
-3.905574433249952904e+00,-3.345025407825544761e+01
-4.251369038071771911e+00,-3.340209904066985303e+01
-4.597582719558502617e+00,-3.335240294755426760e+01
-4.944224305658664775e+00,-3.330115061346286609e+01
-5.291302624320536552e+00,-3.324832685294978774e+01
-5.638826503492623488e+00,-3.319391648056915045e+01
-5.986804771123331648e+00,-3.313790431087512189e+01
-6.335246255161052886e+00,-3.308027515842184130e+01
-6.684159783554207479e+00,-3.302101383776343368e+01
-7.033554184251215702e+00,-3.296010516345407382e+01
-7.383438285200497830e+00,-3.289753395004787961e+01
-7.733820914350459930e+00,-3.283328501209899741e+01
